R,G,B,Name,Artkal Midi,Artkal Mini,Artkal Mini Starter,Artkal Midi Soft,Artkal Mini Soft,All Perler,Perler Multi Mix,Perler Mini Assorted,Perler Mini Bulk,EvoRetro,Funzbo
0,111,223,Light Blue,,,,,,,,,,1,
80,50,22,Brown,,,,,,,,,,1,
80,171,110,Light Green,,,,,,,,,,1,
243,0,118,Pink,,,,,,,,,,1,
0,0,0,Black,,,,,,,,,,1,
255,255,255,White,,,,,,,,,,1,
0,0,0,Black,,,,,,,,,,,1
1,78,218,Blue,,,,,,,,,,,1
1,0,78,Dark Blue,,,,,,,,,,,1
0,196,249,Light Blue,,,,,,,,,,,1
0,40,39,Forest Green,,,,,,,,,,,1
1,195,81,Green,,,,,,,,,,,1
157,212,0,Light Green,,,,,,,,,,,1
248,235,193,Peach,,,,,,,,,,,1
239,240,244,White,,,,,,,,,,,1
126,101,221,Purple,,,,,,,,,,,1
116,0,160,Royal Purple,,,,,,,,,,,1
170,91,0,Leather,,,,,,,,,,,1
161,102,0,Brown,,,,,,,,,,,1
155,158,151,Gray,,,,,,,,,,,1
252,218,0,Yellow,,,,,,,,,,,1
254,230,0,Light Yellow,,,,,,,,,,,1
251,197,62,Light Orange,,,,,,,,,,,1
255,176,224,Pink,,,,,,,,,,,1
241,0,109,Deep Pink,,,,,,,,,,,1
255,151,0,Orange,,,,,,,,,,,1
149,0,2,Burgundy,,,,,,,,,,,1
240,12,1,Red,,,,,,,,,,,1
